names,par_number,names_index,estimated_params,baseline_params,mean_sim_params,standard_deviations,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
αc,1,1,8.52188340998859,1.501376635223686,7.895051208098126,0.6394161738325658,8.108323626508302,8.740098634087975,7.384413811242944,7.531164227398251,7.755113444758581,7.43257048906002,8.43668359361972,8.046281714597876,6.773144040892414,8.742718498815181
αc,1,2,29.51974543814972,1.0357788917215842,28.450910432635265,2.8201595121061174,34.34643680210075,30.10716545600325,28.737541354301076,25.603281084696224,30.567118782611207,26.35605882525498,26.152795365999115,29.88993061803645,25.65141106980089,27.097364967548707
αc,1,3,20.257504428366612,5.222052515197883,20.111921622409554,3.361490469144535,18.841045620558166,22.71742479188245,21.281968063020116,16.32559388689013,19.538934174065528,16.67200204573462,20.635098969948647,26.34927930171533,15.831170725387391,22.92669864489315
αc,1,4,42.248178624522644,5.6188993930200715,40.23205654087428,4.344624174886368,40.1212441075218,43.59290487980657,35.832335125278675,38.478470804925166,40.03942988701843,41.097448353362374,45.549161034958246,43.799269085528174,30.895890423335683,42.91441170700766
αc,1,5,19.460143139803293,2.49303079299221,19.82287047679231,2.3602731768993435,19.014401727595367,20.785512024067927,15.585027339669455,22.557432417299104,21.74783398520883,19.266347867092755,21.949596670434993,20.627751291899727,16.158732182753592,20.536069261901325
αc,1,6,30.393353442316272,4.633591768877723,30.081390665540972,3.199947604564852,29.67572859281595,26.618461691602878,29.78299497058037,31.097038910314396,32.60449275407643,30.025197801768034,35.2671701725422,28.27623949128238,24.332999351004048,33.133582919423006
αc,1,7,31.504121618545533,4.128056322060514,29.949188242812035,2.9271802924401507,27.80111637348069,30.282143762288246,31.905752978475267,31.492552766537386,28.24320677649252,30.205929431940362,31.705129059270792,30.55193017626296,23.3420571080283,33.96206399534381
αc,1,8,38.90470707144073,4.049807137182789,38.34670958499114,4.753888295528503,38.34330654474211,41.67703946110224,40.13922629151314,30.623463302662294,38.01202824981853,37.258329631519715,45.60823463142158,36.06401173347969,31.965130129607278,43.776325874044886
αH,2,1,1.5188451197275472,1.3263855997990506,1.549202594860385,0.23783635270287642,1.1318469462846472,1.4705204776211094,1.6310429916367721,1.4792305335556741,1.6313074994761618,1.4262114436023519,1.8171172160758853,1.873024735677283,1.7571029876883963,1.2746211169855668
αH,2,2,1.546226105334094,1.0028390358816435,1.9387782982498982,0.9331429786548195,1.8613411268939053,1.4563599540680778,1.6047396885243106,1.0108877894843251,1.4466571348049588,3.4425331171371485,1.5811444225997089,1.9335345147594019,3.811007677027817,1.2395775571993273
