Year,Site,Treatment_Num,LFP,Earnings,Welfare,Receipt,FoodStamps,TotInc,NEWWS,Treatment,Imputed_Earnings,DATE,CPIAUCSL,year,CPI
1994,MFIP-LR,1,40.266666666666666,1948.0,96.16666666666667,8257.333333333334,,10205.333333333334,0.0,Treatment,4837.748344370861,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-LR,1,49.975,3734.0,86.25,7062.0,,10796.0,0.0,Treatment,7471.735867933967,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-LR,1,54.8,5281.0,75.925,5948.0,,11229.0,0.0,Treatment,9636.861313868614,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-LR,1,56.9,5944.0,67.8,5288.0,,11232.0,0.0,Treatment,10446.39718804921,1997-01-01,160.525,1997,1.178886168910649
1994,MFIP-RA,0,49.26666666666667,3982.6666666666665,74.56666666666666,4016.0,,7998.666666666667,0.0,Control,8083.8971583220555,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-RA,0,51.474999999999994,5917.0,53.324999999999996,3343.0,,9260.0,0.0,Control,11494.900437105392,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-RA,0,54.62499999999999,7460.0,40.825,2539.0,,9999.0,0.0,Control,13656.750572082383,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-RA,0,55.3,8380.0,33.8,2040.0,,10420.0,0.0,Control,15153.707052441232,1997-01-01,160.525,1997,1.178886168910649
1994,MFIP-RA,2,51.23333333333333,3932.0,81.33333333333333,5077.333333333333,,9009.333333333334,0.0,Treatment,7674.690956408588,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-RA,2,52.5,5510.0,63.050000000000004,4449.0,,9959.0,0.0,Treatment,10495.238095238095,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-RA,2,54.75,6927.0,50.925,3626.0,,10553.0,0.0,Treatment,12652.054794520549,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-RA,2,55.1,7760.0,44.0,3136.0,,10896.0,0.0,Treatment,14083.484573502721,1997-01-01,160.525,1997,1.178886168910649
