Year,Site,Treatment,LFP,Earnings,Participation,Receipt,FoodStamps,CPI,TotInc
1994,Atlanta,1,61.5,4815.0,44.5,,,1.0885556915544676,8587.0
1995,Atlanta,1,65.1,5821.0,32.6,,,1.1190942472460221,8983.0
1991,Atlanta,2,45.5,1846.0,80.8,,,1.0,7264.0
1992,Atlanta,2,54.3,3059.0,66.2,,,1.0304161566707468,7834.0
1993,Atlanta,2,58.2,3912.0,57.4,,,1.061015911872705,8283.0
1994,Atlanta,2,60.3,4910.0,46.9,,,1.0885556915544676,8805.0
1995,Atlanta,2,63.6,5671.0,34.5,,,1.1190942472460221,8933.0
1991,GR,0,52.9,1759.0,77.8,,,1.0,8037.0
1992,GR,0,60.6,2874.0,60.8,,,1.0304161566707468,7987.0
1993,GR,0,65.0,4211.0,48.0,,,1.061015911872705,8391.0
1994,GR,0,70.0,5480.0,38.0,,,1.0885556915544676,8807.0
1995,GR,0,73.0,6447.0,27.8,,,1.1190942472460221,8950.0
1991,GR,1,63.6,2289.0,68.8,,,1.0,7743.0
1992,GR,1,67.2,3385.0,53.5,,,1.0304161566707468,7723.0
1993,GR,1,69.8,4658.0,41.2,,,1.061015911872705,8220.0
1994,GR,1,71.3,5615.0,32.5,,,1.0885556915544676,8485.0
1995,GR,1,70.0,6376.0,24.3,,,1.1190942472460221,8569.0
1991,GR,2,58.1,1869.0,73.7,,,1.0,7777.0
1992,GR,2,65.5,3354.0,54.3,,,1.0304161566707468,7905.0
1993,GR,2,67.2,4514.0,41.7,,,1.061015911872705,8165.0
1994,GR,2,70.0,5535.0,32.5,,,1.0885556915544676,8413.0
1995,GR,2,70.3,6345.0,25.8,,,1.1190942472460221,8666.0
1991,Riverside,0,31.6,1495.5,70.94999999999999,,,1.0,8670.5
1992,Riverside,0,34.45,2184.0,58.2,,,1.0304161566707468,7924.0
1993,Riverside,0,37.3,2553.5,49.85,,,1.061015911872705,7594.5
1994,Riverside,0,39.5,3077.5,43.7,,,1.0885556915544676,7531.0
1995,Riverside,0,42.2,3590.0,36.8,,,1.1190942472460221,7337.5
1991,Riverside,1,50.6,2460.0,62.9,,,1.0,8722.0
1992,Riverside,1,45.4,3039.0,50.1,,,1.0304161566707468,7663.0
1993,Riverside,1,44.5,3389.0,42.7,,,1.061015911872705,7420.0
1994,Riverside,1,45.8,3867.0,37.0,,,1.0885556915544676,7469.0
1995,Riverside,1,48.7,4683.0,30.2,,,1.1190942472460221,7655.0
1991,Riverside,2,35.7,1446.0,66.4,,,1.0,8249.0
1992,Riverside,2,37.7,2025.0,54.2,,,1.0304161566707468,7303.0
1993,Riverside,2,39.3,2561.0,47.1,,,1.061015911872705,6997.0
1994,Riverside,2,40.9,2857.0,41.5,,,1.0885556915544676,6768.0
1995,Riverside,2,44.9,3384.0,34.5,,,1.1190942472460221,6607.0
