Moment_Category,Data_Moment,Model_Moment,weights,Moment_Deviation,Moment_Deviation_Weighted
E,0.392,0.4144076618779929,2.0486106030231634,0.0005021033108384549,0.001028614166396694
E,0.418,0.4298563397876327,2.0486106030231634,0.00014057279315980294,0.0002879789145637543
E,0.433,0.44388923589423274,2.0486106030231634,0.00011857545836024671,0.00024291494125513303
E,0.446,0.4498438475952529,2.0486106030231634,1.477516433553161e-5,3.0268558319179747e-5
E,0.46,0.4601290859879242,2.0486106030231634,1.666319227835642e-8,3.413639238165467e-8
E,0.46399999999999997,0.4793254216114928,2.0486106030231634,0.00023486854757001077,0.0004811541968685743
E,0.486,0.4878201124297314,2.0486106030231634,3.3128092568627475e-6,6.786656169402311e-6
E,0.503,0.4968561315844264,2.0486106030231634,3.77471191078832e-5,7.732914843798778e-5
E,0.511,0.512679575265459,2.0486106030231634,2.820973072341779e-6,5.779075346842198e-6
E,0.526,0.5207995003123048,2.0486106030231634,2.704519700171791e-5,5.540507733856958e-5
E,0.528,0.5311263793462419,2.0486106030231634,9.774247816607463e-6,2.0023627713678055e-5
E,0.536,0.5486154486779096,2.0486106030231634,0.00015914954534496944,0.00032603544606002016
E,0.539,0.566187799292109,2.0486106030231634,0.0007391764303480036,0.001514284672715733
E,0.535,0.5803456173225068,2.0486106030231634,0.002056225010359224,0.00421240435842332
E,0.539,0.5683947532792004,2.0486106030231634,0.0008640515203450615,0.0017701051061371777
E,0.531,0.5748906933166771,2.0486106030231634,0.0019263929598186,0.003946429043073558
E,0.444,0.4767437018530085,2.0486106030231634,0.001072150011038713,0.002196417880645309
E,0.48700000000000004,0.5002290235269623,2.0486106030231634,0.00017500706347692093,0.000358521325842768
E,0.52,0.5110555902560899,2.0486106030231634,8.00024656669537e-5,0.00016389389943331794
E,0.526,0.5188007495315428,2.0486106030231634,5.1829207307582126e-5,0.00010617786363659836
E,0.545,0.502311055590256,2.0486106030231634,0.0018223459748182155,0.003733277286389179
E,0.551,0.5115969185925463,2.0486106030231634,0.001552602824402427,0.0031806786083545227
E,0.5710000000000001,0.5187591088902769,2.0486106030231634,0.002729110703937955,0.005590885124911305
E,0.58,0.5357484905267541,2.0486106030231634,0.0019581960906607677,0.004011581274126157
E,0.589,0.545825525713096,2.0486106030231634,0.0018640352299505363,0.0038186823364853894
E,0.5870000000000001,0.5621070164480533,2.0486106030231634,0.000619660630117494,0.0012694433371347128
E,0.591,0.5781803039766812,2.0486106030231634,0.00016434460613029542,0.00033667810266818876
