x1,x2
alpha_c,1.1765310633973636
alpha_c,2.257016396552695
alpha_c,1.6888266090232902
alpha_c,1.3955629889743202
alpha_theta,0.0
alpha_H,0.6155489751533927
alpha_H,1.241806149920904
alpha_H,0.646652276419749
alpha_H,0.504120517747833
alpha_A,0.5797391901600364
alpha_A,1.1150653406079751
alpha_A,0.631748765627641
alpha_A,0.5514157529352242
beta,0.400525077720686
sigma_A,0.16645299981356326
delta_I,-2.0
delta_I,0.0
delta_theta,0.9
epsilon,1.5
tau,0.5
tau,0.7
pc,3.0
wq,14.209344497094632
alpha_WR,0.08108995316638706
